INSERT INTO products (Name, Description, Category, ImageUrl, Stock, Price) VALUES
('Wędka JRC Spinningowa 390cm', 'Profesjonalna wędka typu spinningowa o długości 390cm i ciężarze wyrzutu 20-60g. Idealny wybór na polskie wody.', 'Wędki', '1.jpg', 17, 396.72),
('Wędka Daiwa Bolońska 390cm', 'Profesjonalna wędka typu bolońska o długości 390cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '2.jpg', 16, 218.23),
('Wędka Okuma Spinningowa 210cm', 'Profesjonalna wędka typu spinningowa o długości 210cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '3.jpg', 7, 382.90),
('Wędka Mikado Sumowa 240cm', 'Profesjonalna wędka typu sumowa o długości 240cm i ciężarze wyrzutu 40-120g. Idealny wybór na polskie wody.', 'Wędki', '4.jpg', 6, 854.36),
('Wędka Mikado Karpiowa 300cm', 'Profesjonalna wędka typu karpiowa o długości 300cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '5.jpg', 56, 434.35),
('Wędka Fox International Odległościowa 240cm', 'Profesjonalna wędka typu odległościowa o długości 240cm i ciężarze wyrzutu 40-120g. Idealny wybór na polskie wody.', 'Wędki', '6.jpg', 3, 597.54),
('Wędka Savage Gear Karpiowa 270cm', 'Profesjonalna wędka typu karpiowa o długości 270cm i ciężarze wyrzutu 5-25g. Idealny wybór na polskie wody.', 'Wędki', '7.jpg', 22, 224.79),
('Wędka Shimano Odległościowa 270cm', 'Profesjonalna wędka typu odległościowa o długości 270cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '8.jpg', 48, 418.90),
('Wędka Shimano Sumowa 210cm', 'Profesjonalna wędka typu sumowa o długości 210cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '9.jpg', 61, 209.03),
('Wędka Savage Gear Sumowa 240cm', 'Profesjonalna wędka typu sumowa o długości 240cm i ciężarze wyrzutu 40-120g. Idealny wybór na polskie wody.', 'Wędki', '10.jpg', 49, 198.59),
('Wędka JRC Odległościowa 270cm', 'Profesjonalna wędka typu odległościowa o długości 270cm i ciężarze wyrzutu 5-25g. Idealny wybór na polskie wody.', 'Wędki', '11.jpg', 32, 1086.50),
('Wędka Fox International Podlodowa 270cm', 'Profesjonalna wędka typu podlodowa o długości 270cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '12.jpg', 15, 838.31),
('Wędka Savage Gear Feederowa 270cm', 'Profesjonalna wędka typu feederowa o długości 270cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '13.jpg', 23, 877.29),
('Wędka JRC Sumowa 390cm', 'Profesjonalna wędka typu sumowa o długości 390cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '14.jpg', 12, 723.57),
('Wędka Daiwa Podlodowa 300cm', 'Profesjonalna wędka typu podlodowa o długości 300cm i ciężarze wyrzutu 20-60g. Idealny wybór na polskie wody.', 'Wędki', '15.jpg', 23, 1238.15),
('Wędka JRC Karpiowa 390cm', 'Profesjonalna wędka typu karpiowa o długości 390cm i ciężarze wyrzutu 20-60g. Idealny wybór na polskie wody.', 'Wędki', '16.jpg', 74, 1072.41),
('Wędka Fox International Karpiowa 210cm', 'Profesjonalna wędka typu karpiowa o długości 210cm i ciężarze wyrzutu 20-60g. Idealny wybór na polskie wody.', 'Wędki', '17.jpg', 10, 573.31),
('Wędka Shimano Sumowa 390cm', 'Profesjonalna wędka typu sumowa o długości 390cm i ciężarze wyrzutu 20-60g. Idealny wybór na polskie wody.', 'Wędki', '18.jpg', 30, 360.26),
('Wędka Okuma Bolońska 300cm', 'Profesjonalna wędka typu bolońska o długości 300cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '19.jpg', 53, 419.30),
('Wędka Daiwa Sumowa 270cm', 'Profesjonalna wędka typu sumowa o długości 270cm i ciężarze wyrzutu 40-120g. Idealny wybór na polskie waters.', 'Wędki', '20.jpg', 74, 780.57),
('Wędka Mikado Feederowa 240cm', 'Profesjonalna wędka typu feederowa o długości 240cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '21.jpg', 54, 695.75),
('Wędka Shimano Odległościowa 210cm', 'Profesjonalna wędka typu odległościowa o długości 210cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '22.jpg', 9, 829.00),
('Wędka Fox International Sumowa 210cm', 'Profesjonalna wędka typu sumowa o długości 210cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '23.jpg', 57, 551.22),
